codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_chikungunya
312800,Guanhães,2021,1,2021-1-01,0
312800,Guanhães,2021,2,2021-2-01,1
312800,Guanhães,2021,3,2021-3-01,0
312800,Guanhães,2021,4,2021-4-01,0
312800,Guanhães,2021,5,2021-5-01,0
312800,Guanhães,2021,7,2021-7-01,0
312800,Guanhães,2021,10,2021-10-01,0
312800,Guanhães,2021,11,2021-11-01,0
312800,Guanhães,2021,12,2021-12-01,0
312825,Guaraciama,2021,1,2021-1-01,0
312825,Guaraciama,2021,2,2021-2-01,0
312825,Guaraciama,2021,3,2021-3-01,1
312825,Guaraciama,2021,4,2021-4-01,0
312825,Guaraciama,2021,5,2021-5-01,0
312825,Guaraciama,2021,7,2021-7-01,0
312825,Guaraciama,2021,10,2021-10-01,0
312825,Guaraciama,2021,11,2021-11-01,0
312825,Guaraciama,2021,12,2021-12-01,0
312860,Guarda-Mor,2021,1,2021-1-01,1
312860,Guarda-Mor,2021,2,2021-2-01,0
312860,Guarda-Mor,2021,3,2021-3-01,0
312860,Guarda-Mor,2021,4,2021-4-01,0
312860,Guarda-Mor,2021,5,2021-5-01,0
312860,Guarda-Mor,2021,7,2021-7-01,0
312860,Guarda-Mor,2021,10,2021-10-01,0
312860,Guarda-Mor,2021,11,2021-11-01,0
312860,Guarda-Mor,2021,12,2021-12-01,0
312880,Guidoval,2021,1,2021-1-01,0
312880,Guidoval,2021,2,2021-2-01,0
312880,Guidoval,2021,3,2021-3-01,1
312880,Guidoval,2021,4,2021-4-01,0
312880,Guidoval,2021,5,2021-5-01,0
312880,Guidoval,2021,7,2021-7-01,0
312880,Guidoval,2021,10,2021-10-01,0
312880,Guidoval,2021,11,2021-11-01,0
312880,Guidoval,2021,12,2021-12-01,0
312950,Ibiá,2021,1,2021-1-01,0
312950,Ibiá,2021,2,2021-2-01,0
312950,Ibiá,2021,3,2021-3-01,1
312950,Ibiá,2021,4,2021-4-01,0
312950,Ibiá,2021,5,2021-5-01,0
312950,Ibiá,2021,7,2021-7-01,0
312950,Ibiá,2021,10,2021-10-01,0
312950,Ibiá,2021,11,2021-11-01,0
312950,Ibiá,2021,12,2021-12-01,0
312980,Ibirité,2021,1,2021-1-01,0
312980,Ibirité,2021,2,2021-2-01,0
312980,Ibirité,2021,3,2021-3-01,1
312980,Ibirité,2021,4,2021-4-01,0
312980,Ibirité,2021,5,2021-5-01,0
312980,Ibirité,2021,7,2021-7-01,0
312980,Ibirité,2021,10,2021-10-01,0
312980,Ibirité,2021,11,2021-11-01,0
312980,Ibirité,2021,12,2021-12-01,0
313010,Igarapé,2021,1,2021-1-01,0
313010,Igarapé,2021,2,2021-2-01,1
313010,Igarapé,2021,3,2021-3-01,0
313010,Igarapé,2021,4,2021-4-01,0
313010,Igarapé,2021,5,2021-5-01,0
313010,Igarapé,2021,7,2021-7-01,0
313010,Igarapé,2021,10,2021-10-01,0
313010,Igarapé,2021,11,2021-11-01,0
313010,Igarapé,2021,12,2021-12-01,0
313070,Indianópolis,2021,1,2021-1-01,0
313070,Indianópolis,2021,2,2021-2-01,0
313070,Indianópolis,2021,3,2021-3-01,0
313070,Indianópolis,2021,4,2021-4-01,1
313070,Indianópolis,2021,5,2021-5-01,0
313070,Indianópolis,2021,7,2021-7-01,0
313070,Indianópolis,2021,10,2021-10-01,0
313070,Indianópolis,2021,11,2021-11-01,0
313070,Indianópolis,2021,12,2021-12-01,0
313115,Ipaba,2021,1,2021-1-01,1
313115,Ipaba,2021,2,2021-2-01,1
313115,Ipaba,2021,3,2021-3-01,1
313115,Ipaba,2021,4,2021-4-01,0
313115,Ipaba,2021,5,2021-5-01,0
313115,Ipaba,2021,7,2021-7-01,0
313115,Ipaba,2021,10,2021-10-01,0
313115,Ipaba,2021,11,2021-11-01,0
313115,Ipaba,2021,12,2021-12-01,0
313120,Ipanema,2021,1,2021-1-01,0
313120,Ipanema,2021,2,2021-2-01,0
313120,Ipanema,2021,3,2021-3-01,5
313120,Ipanema,2021,4,2021-4-01,108
313120,Ipanema,2021,5,2021-5-01,34
313120,Ipanema,2021,7,2021-7-01,0
313120,Ipanema,2021,10,2021-10-01,0
313120,Ipanema,2021,11,2021-11-01,0
313120,Ipanema,2021,12,2021-12-01,0
313130,Ipatinga,2021,1,2021-1-01,26
313130,Ipatinga,2021,2,2021-2-01,8
313130,Ipatinga,2021,3,2021-3-01,27
313130,Ipatinga,2021,4,2021-4-01,12
313130,Ipatinga,2021,5,2021-5-01,0
313130,Ipatinga,2021,7,2021-7-01,0
313130,Ipatinga,2021,10,2021-10-01,0
313130,Ipatinga,2021,11,2021-11-01,0
313130,Ipatinga,2021,12,2021-12-01,2
313170,Itabira,2021,1,2021-1-01,1
313170,Itabira,2021,2,2021-2-01,0
313170,Itabira,2021,3,2021-3-01,1
313170,Itabira,2021,4,2021-4-01,0
313170,Itabira,2021,5,2021-5-01,0
313170,Itabira,2021,7,2021-7-01,0
313170,Itabira,2021,10,2021-10-01,0
313170,Itabira,2021,11,2021-11-01,0
313170,Itabira,2021,12,2021-12-01,0
313190,Itabirito,2021,1,2021-1-01,0
313190,Itabirito,2021,2,2021-2-01,0
313190,Itabirito,2021,3,2021-3-01,0
313190,Itabirito,2021,4,2021-4-01,1
313190,Itabirito,2021,5,2021-5-01,0
313190,Itabirito,2021,7,2021-7-01,0
313190,Itabirito,2021,10,2021-10-01,0
313190,Itabirito,2021,11,2021-11-01,0
313190,Itabirito,2021,12,2021-12-01,0
