codigo_ibge,nome_municipio,ano,mes,data_timeline,valor_aids_adulto
311530,Cataguases,2021,1,2021-1-01,2
311530,Cataguases,2021,2,2021-2-01,0
311530,Cataguases,2021,3,2021-3-01,0
311530,Cataguases,2021,4,2021-4-01,0
311530,Cataguases,2021,5,2021-5-01,0
311535,Catas Altas,2021,1,2021-1-01,0
311535,Catas Altas,2021,2,2021-2-01,0
311535,Catas Altas,2021,3,2021-3-01,1
311535,Catas Altas,2021,4,2021-4-01,0
311535,Catas Altas,2021,5,2021-5-01,0
311545,Catuji,2021,1,2021-1-01,0
311545,Catuji,2021,2,2021-2-01,1
311545,Catuji,2021,3,2021-3-01,0
311545,Catuji,2021,4,2021-4-01,0
311545,Catuji,2021,5,2021-5-01,0
311580,Centralina,2021,1,2021-1-01,1
311580,Centralina,2021,2,2021-2-01,0
311580,Centralina,2021,3,2021-3-01,0
311580,Centralina,2021,4,2021-4-01,0
311580,Centralina,2021,5,2021-5-01,0
311710,Conceição da Aparecida,2021,1,2021-1-01,1
311710,Conceição da Aparecida,2021,2,2021-2-01,0
311710,Conceição da Aparecida,2021,3,2021-3-01,0
311710,Conceição da Aparecida,2021,4,2021-4-01,0
311710,Conceição da Aparecida,2021,5,2021-5-01,0
311730,Conceição das Alagoas,2021,1,2021-1-01,6
311730,Conceição das Alagoas,2021,2,2021-2-01,0
311730,Conceição das Alagoas,2021,3,2021-3-01,1
311730,Conceição das Alagoas,2021,4,2021-4-01,0
311730,Conceição das Alagoas,2021,5,2021-5-01,0
311760,Conceição do Pará,2021,1,2021-1-01,1
311760,Conceição do Pará,2021,2,2021-2-01,0
311760,Conceição do Pará,2021,3,2021-3-01,0
311760,Conceição do Pará,2021,4,2021-4-01,0
311760,Conceição do Pará,2021,5,2021-5-01,0
311780,Conceição dos Ouros,2021,1,2021-1-01,1
311780,Conceição dos Ouros,2021,2,2021-2-01,2
311780,Conceição dos Ouros,2021,3,2021-3-01,0
311780,Conceição dos Ouros,2021,4,2021-4-01,0
311780,Conceição dos Ouros,2021,5,2021-5-01,0
311787,Confins,2021,1,2021-1-01,0
311787,Confins,2021,2,2021-2-01,0
311787,Confins,2021,3,2021-3-01,1
311787,Confins,2021,4,2021-4-01,0
311787,Confins,2021,5,2021-5-01,0
311800,Congonhas,2021,1,2021-1-01,0
311800,Congonhas,2021,2,2021-2-01,1
311800,Congonhas,2021,3,2021-3-01,1
311800,Congonhas,2021,4,2021-4-01,1
311800,Congonhas,2021,5,2021-5-01,1
311820,Conquista,2021,1,2021-1-01,1
311820,Conquista,2021,2,2021-2-01,0
311820,Conquista,2021,3,2021-3-01,0
311820,Conquista,2021,4,2021-4-01,0
311820,Conquista,2021,5,2021-5-01,0
311830,Conselheiro Lafaiete,2021,1,2021-1-01,3
311830,Conselheiro Lafaiete,2021,2,2021-2-01,2
311830,Conselheiro Lafaiete,2021,3,2021-3-01,2
311830,Conselheiro Lafaiete,2021,4,2021-4-01,1
311830,Conselheiro Lafaiete,2021,5,2021-5-01,2
311860,Contagem,2021,1,2021-1-01,10
311860,Contagem,2021,2,2021-2-01,9
311860,Contagem,2021,3,2021-3-01,11
311860,Contagem,2021,4,2021-4-01,7
311860,Contagem,2021,5,2021-5-01,0
311910,Corinto,2021,1,2021-1-01,0
311910,Corinto,2021,2,2021-2-01,0
311910,Corinto,2021,3,2021-3-01,1
311910,Corinto,2021,4,2021-4-01,1
311910,Corinto,2021,5,2021-5-01,0
311940,Coronel Fabriciano,2021,1,2021-1-01,1
311940,Coronel Fabriciano,2021,2,2021-2-01,4
311940,Coronel Fabriciano,2021,3,2021-3-01,2
311940,Coronel Fabriciano,2021,4,2021-4-01,0
311940,Coronel Fabriciano,2021,5,2021-5-01,0
312090,Curvelo,2021,1,2021-1-01,0
312090,Curvelo,2021,2,2021-2-01,1
312090,Curvelo,2021,3,2021-3-01,0
312090,Curvelo,2021,4,2021-4-01,2
312090,Curvelo,2021,5,2021-5-01,0
312120,Delfinópolis,2021,1,2021-1-01,0
312120,Delfinópolis,2021,2,2021-2-01,0
312120,Delfinópolis,2021,3,2021-3-01,1
312120,Delfinópolis,2021,4,2021-4-01,0
312120,Delfinópolis,2021,5,2021-5-01,0
312150,Desterro do Melo,2021,1,2021-1-01,2
312150,Desterro do Melo,2021,2,2021-2-01,0
312150,Desterro do Melo,2021,3,2021-3-01,0
312150,Desterro do Melo,2021,4,2021-4-01,0
312150,Desterro do Melo,2021,5,2021-5-01,0
312160,Diamantina,2021,1,2021-1-01,1
312160,Diamantina,2021,2,2021-2-01,0
312160,Diamantina,2021,3,2021-3-01,1
312160,Diamantina,2021,4,2021-4-01,1
312160,Diamantina,2021,5,2021-5-01,0
312190,Divinésia,2021,1,2021-1-01,0
312190,Divinésia,2021,2,2021-2-01,1
312190,Divinésia,2021,3,2021-3-01,0
312190,Divinésia,2021,4,2021-4-01,0
312190,Divinésia,2021,5,2021-5-01,0
312200,Divino,2021,1,2021-1-01,1
312200,Divino,2021,2,2021-2-01,1
312200,Divino,2021,3,2021-3-01,0
312200,Divino,2021,4,2021-4-01,0
312200,Divino,2021,5,2021-5-01,0
312230,Divinópolis,2021,1,2021-1-01,6
312230,Divinópolis,2021,2,2021-2-01,5
312230,Divinópolis,2021,3,2021-3-01,0
312230,Divinópolis,2021,4,2021-4-01,0
312230,Divinópolis,2021,5,2021-5-01,0
312290,Dona Eusébia,2021,1,2021-1-01,1
312290,Dona Eusébia,2021,2,2021-2-01,0
312290,Dona Eusébia,2021,3,2021-3-01,0
312290,Dona Eusébia,2021,4,2021-4-01,0
312290,Dona Eusébia,2021,5,2021-5-01,0
312300,Dores de Campos,2021,1,2021-1-01,0
312300,Dores de Campos,2021,2,2021-2-01,1
312300,Dores de Campos,2021,3,2021-3-01,0
312300,Dores de Campos,2021,4,2021-4-01,0
312300,Dores de Campos,2021,5,2021-5-01,0
312320,Dores do Indaiá,2021,1,2021-1-01,0
312320,Dores do Indaiá,2021,2,2021-2-01,0
312320,Dores do Indaiá,2021,3,2021-3-01,0
312320,Dores do Indaiá,2021,4,2021-4-01,0
312320,Dores do Indaiá,2021,5,2021-5-01,1
312340,Doresópolis,2021,1,2021-1-01,1
312340,Doresópolis,2021,2,2021-2-01,0
312340,Doresópolis,2021,3,2021-3-01,0
312340,Doresópolis,2021,4,2021-4-01,0
312340,Doresópolis,2021,5,2021-5-01,0
312360,Elói Mendes,2021,1,2021-1-01,1
312360,Elói Mendes,2021,2,2021-2-01,0
312360,Elói Mendes,2021,3,2021-3-01,0
312360,Elói Mendes,2021,4,2021-4-01,0
312360,Elói Mendes,2021,5,2021-5-01,0
312400,Ervália,2021,1,2021-1-01,2
312400,Ervália,2021,2,2021-2-01,0
312400,Ervália,2021,3,2021-3-01,0
312400,Ervália,2021,4,2021-4-01,0
312400,Ervália,2021,5,2021-5-01,0
312410,Esmeraldas,2021,1,2021-1-01,3
312410,Esmeraldas,2021,2,2021-2-01,4
312410,Esmeraldas,2021,3,2021-3-01,1
312410,Esmeraldas,2021,4,2021-4-01,0
312410,Esmeraldas,2021,5,2021-5-01,0
312430,Espinosa,2021,1,2021-1-01,0
312430,Espinosa,2021,2,2021-2-01,0
312430,Espinosa,2021,3,2021-3-01,0
312430,Espinosa,2021,4,2021-4-01,0
312430,Espinosa,2021,5,2021-5-01,1
312490,Eugenópolis,2021,1,2021-1-01,0
312490,Eugenópolis,2021,2,2021-2-01,1
312490,Eugenópolis,2021,3,2021-3-01,0
312490,Eugenópolis,2021,4,2021-4-01,0
312490,Eugenópolis,2021,5,2021-5-01,0
312510,Extrema,2021,1,2021-1-01,1
312510,Extrema,2021,2,2021-2-01,3
312510,Extrema,2021,3,2021-3-01,0
312510,Extrema,2021,4,2021-4-01,2
312510,Extrema,2021,5,2021-5-01,0
312570,Felixlândia,2021,1,2021-1-01,0
312570,Felixlândia,2021,2,2021-2-01,0
312570,Felixlândia,2021,3,2021-3-01,1
312570,Felixlândia,2021,4,2021-4-01,1
312570,Felixlândia,2021,5,2021-5-01,0
312610,Formiga,2021,1,2021-1-01,0
312610,Formiga,2021,2,2021-2-01,2
312610,Formiga,2021,3,2021-3-01,0
312610,Formiga,2021,4,2021-4-01,0
312610,Formiga,2021,5,2021-5-01,0
312620,Formoso,2021,1,2021-1-01,0
312620,Formoso,2021,2,2021-2-01,1
312620,Formoso,2021,3,2021-3-01,0
312620,Formoso,2021,4,2021-4-01,0
312620,Formoso,2021,5,2021-5-01,0
312630,Fortaleza de Minas,2021,1,2021-1-01,0
312630,Fortaleza de Minas,2021,2,2021-2-01,0
312630,Fortaleza de Minas,2021,3,2021-3-01,0
312630,Fortaleza de Minas,2021,4,2021-4-01,1
312630,Fortaleza de Minas,2021,5,2021-5-01,0
312710,Frutal,2021,1,2021-1-01,1
312710,Frutal,2021,2,2021-2-01,0
312710,Frutal,2021,3,2021-3-01,0
312710,Frutal,2021,4,2021-4-01,0
312710,Frutal,2021,5,2021-5-01,0
312770,Governador Valadares,2021,1,2021-1-01,5
312770,Governador Valadares,2021,2,2021-2-01,5
312770,Governador Valadares,2021,3,2021-3-01,5
312770,Governador Valadares,2021,4,2021-4-01,0
312770,Governador Valadares,2021,5,2021-5-01,0
312800,Guanhães,2021,1,2021-1-01,1
312800,Guanhães,2021,2,2021-2-01,0
312800,Guanhães,2021,3,2021-3-01,0
312800,Guanhães,2021,4,2021-4-01,0
312800,Guanhães,2021,5,2021-5-01,0
312810,Guapé,2021,1,2021-1-01,1
312810,Guapé,2021,2,2021-2-01,0
312810,Guapé,2021,3,2021-3-01,0
312810,Guapé,2021,4,2021-4-01,0
312810,Guapé,2021,5,2021-5-01,0
